term,estimate,se,nct_id,model_n,outcome
age_std,0.57,0.756,NCT00231595,41,early_withdrawal
I(age_std^2),0.221,0.227,NCT00231595,41,early_withdrawal
como_cnt,0.077,0.192,NCT00231595,41,early_withdrawal
I(como_cnt^2),-0.023,0.023,NCT00231595,41,early_withdrawal
armtreat:age_std,1.421,1.063,NCT00231595,41,early_withdrawal
armtreat:I(age_std^2),0.281,0.318,NCT00231595,41,early_withdrawal
(Intercept),-0.268,0.583,NCT00231595,42,early_withdrawal
armtreat,1.275,0.853,NCT00231595,42,early_withdrawal
age_std,0.501,0.749,NCT00231595,42,early_withdrawal
I(age_std^2),0.202,0.224,NCT00231595,42,early_withdrawal
como_cnt,-0.077,0.112,NCT00231595,42,early_withdrawal
armtreat:age_std,1.461,1.066,NCT00231595,42,early_withdrawal
armtreat:I(age_std^2),0.292,0.317,NCT00231595,42,early_withdrawal
armtreat:como_cnt,-0.04,0.157,NCT00231595,42,early_withdrawal
(Intercept),-0.331,0.595,NCT00231595,43,early_withdrawal
armtreat,1.208,0.88,NCT00231595,43,early_withdrawal
age_std,0.556,0.759,NCT00231595,43,early_withdrawal
I(age_std^2),0.218,0.227,NCT00231595,43,early_withdrawal
como_cnt,0.071,0.274,NCT00231595,43,early_withdrawal
I(como_cnt^2),-0.02,0.034,NCT00231595,43,early_withdrawal
armtreat:age_std,1.455,1.081,NCT00231595,43,early_withdrawal
armtreat:I(age_std^2),0.288,0.321,NCT00231595,43,early_withdrawal
armtreat:como_cnt,0.007,0.386,NCT00231595,43,early_withdrawal
armtreat:I(como_cnt^2),-0.004,0.046,NCT00231595,43,early_withdrawal
(Intercept),-0.429,0.537,NCT00231595,44,early_withdrawal
armtreat,1.093,0.75,NCT00231595,44,early_withdrawal
age_std,0.445,0.741,NCT00231595,44,early_withdrawal
I(age_std^2),0.195,0.223,NCT00231595,44,early_withdrawal
armtreat:age_std,1.346,1.041,NCT00231595,44,early_withdrawal
armtreat:I(age_std^2),0.267,0.313,NCT00231595,44,early_withdrawal
(Intercept),-0.473,0.18,NCT00231595,45,early_withdrawal
sexTRUE,0.081,0.397,NCT00231595,45,early_withdrawal
como_cnt,-0.063,0.075,NCT00231595,45,early_withdrawal
(Intercept),-0.571,0.225,NCT00231595,46,early_withdrawal
sexTRUE,0.1,0.399,NCT00231595,46,early_withdrawal
como_cnt,0.066,0.187,NCT00231595,46,early_withdrawal
I(como_cnt^2),-0.017,0.022,NCT00231595,46,early_withdrawal
(Intercept),-0.411,0.245,NCT00231595,47,early_withdrawal
sexTRUE,0.071,0.4,NCT00231595,47,early_withdrawal
como_cnt,-0.087,0.11,NCT00231595,47,early_withdrawal
armtreat,-0.129,0.342,NCT00231595,47,early_withdrawal
como_cnt:armtreat,0.048,0.15,NCT00231595,47,early_withdrawal
(Intercept),-0.498,0.298,NCT00231595,48,early_withdrawal
sexTRUE,0.087,0.402,NCT00231595,48,early_withdrawal
armtreat,-0.168,0.435,NCT00231595,48,early_withdrawal
como_cnt,0.043,0.272,NCT00231595,48,early_withdrawal
I(como_cnt^2),-0.017,0.034,NCT00231595,48,early_withdrawal
armtreat:como_cnt,0.064,0.377,NCT00231595,48,early_withdrawal
armtreat:I(como_cnt^2),-0.001,0.045,NCT00231595,48,early_withdrawal
(Intercept),-0.567,0.144,NCT00231595,49,early_withdrawal
sexTRUE,0.108,0.396,NCT00231595,49,early_withdrawal
(Intercept),-0.367,0.228,NCT00231595,50,early_withdrawal
sexTRUE,-0.418,0.53,NCT00231595,50,early_withdrawal
armtreat,-0.215,0.289,NCT00231595,50,early_withdrawal
como_cnt,-0.059,0.075,NCT00231595,50,early_withdrawal
sexTRUE:armtreat,1.247,0.83,NCT00231595,50,early_withdrawal
(Intercept),-0.451,0.26,NCT00231595,51,early_withdrawal
sexTRUE,-0.391,0.532,NCT00231595,51,early_withdrawal
armtreat,-0.229,0.29,NCT00231595,51,early_withdrawal
como_cnt,0.059,0.189,NCT00231595,51,early_withdrawal
I(como_cnt^2),-0.015,0.022,NCT00231595,51,early_withdrawal
sexTRUE:armtreat,1.214,0.831,NCT00231595,51,early_withdrawal
(Intercept),-0.322,0.251,NCT00231595,52,early_withdrawal
sexTRUE,-0.429,0.532,NCT00231595,52,early_withdrawal
armtreat,-0.311,0.363,NCT00231595,52,early_withdrawal
como_cnt,-0.094,0.112,NCT00231595,52,early_withdrawal
sexTRUE:armtreat,1.275,0.833,NCT00231595,52,early_withdrawal
armtreat:como_cnt,0.066,0.152,NCT00231595,52,early_withdrawal
(Intercept),-0.393,0.305,NCT00231595,53,early_withdrawal
sexTRUE,-0.407,0.535,NCT00231595,53,early_withdrawal
armtreat,-0.361,0.455,NCT00231595,53,early_withdrawal
como_cnt,0.01,0.273,NCT00231595,53,early_withdrawal
I(como_cnt^2),-0.014,0.034,NCT00231595,53,early_withdrawal
sexTRUE:armtreat,1.247,0.835,NCT00231595,53,early_withdrawal
armtreat:como_cnt,0.104,0.379,NCT00231595,53,early_withdrawal
armtreat:I(como_cnt^2),-0.003,0.045,NCT00231595,53,early_withdrawal
(Intercept),-0.447,0.205,NCT00231595,54,early_withdrawal
sexTRUE,-0.4,0.529,NCT00231595,54,early_withdrawal
armtreat,-0.232,0.288,NCT00231595,54,early_withdrawal
sexTRUE:armtreat,1.262,0.829,NCT00231595,54,early_withdrawal
(Intercept),-0.582,0.283,NCT00236561,1,early_withdrawal
age_std,0.459,0.185,NCT00236561,1,early_withdrawal
sexTRUE,-0.311,0.362,NCT00236561,1,early_withdrawal
como_cnt,0.168,0.269,NCT00236561,1,early_withdrawal
(Intercept),-0.601,0.285,NCT00236561,2,early_withdrawal
age_std,0.484,0.186,NCT00236561,2,early_withdrawal
sexTRUE,-0.319,0.364,NCT00236561,2,early_withdrawal
como_cnt,1.268,0.792,NCT00236561,2,early_withdrawal
I(como_cnt^2),-0.798,0.599,NCT00236561,2,early_withdrawal
(Intercept),-1.236,0.38,NCT00236561,3,early_withdrawal
age_std,0.395,0.189,NCT00236561,3,early_withdrawal
sexTRUE,-0.221,0.371,NCT00236561,3,early_withdrawal
como_cnt,-0.053,0.465,NCT00236561,3,early_withdrawal
armtreat,0.959,0.348,NCT00236561,3,early_withdrawal
como_cnt:armtreat,0.504,0.585,NCT00236561,3,early_withdrawal
(Intercept),-1.236,0.388,NCT00236561,4,early_withdrawal
age_std,0.431,0.191,NCT00236561,4,early_withdrawal
sexTRUE,-0.211,0.374,NCT00236561,4,early_withdrawal
armtreat,0.937,0.36,NCT00236561,4,early_withdrawal
como_cnt,7.042,473.499,NCT00236561,4,early_withdrawal
I(como_cnt^2),-6.867,473.499,NCT00236561,4,early_withdrawal
armtreat:como_cnt,-4.831,473.501,NCT00236561,4,early_withdrawal
armtreat:I(como_cnt^2),5.608,473.499,NCT00236561,4,early_withdrawal
(Intercept),-0.51,0.257,NCT00236561,5,early_withdrawal
age_std,0.479,0.182,NCT00236561,5,early_withdrawal
sexTRUE,-0.321,0.362,NCT00236561,5,early_withdrawal
(Intercept),-1.909,0.546,NCT00236561,6,early_withdrawal
armtreat,1.9,0.612,NCT00236561,6,early_withdrawal
age_std,-0.056,0.322,NCT00236561,6,early_withdrawal
sexTRUE,-0.269,0.6,NCT00236561,6,early_withdrawal
como_cnt,0.278,0.283,NCT00236561,6,early_withdrawal
armtreat:age_std,0.676,0.396,NCT00236561,6,early_withdrawal
armtreat:sexTRUE,0.169,0.77,NCT00236561,6,early_withdrawal
(Intercept),-1.995,0.552,NCT00236561,7,early_withdrawal
armtreat,2,0.624,NCT00236561,7,early_withdrawal
age_std,-0.047,0.321,NCT00236561,7,early_withdrawal
sexTRUE,-0.272,0.603,NCT00236561,7,early_withdrawal
como_cnt,1.816,0.873,NCT00236561,7,early_withdrawal
I(como_cnt^2),-1.148,0.664,NCT00236561,7,early_withdrawal
armtreat:age_std,0.72,0.401,NCT00236561,7,early_withdrawal
armtreat:sexTRUE,0.2,0.776,NCT00236561,7,early_withdrawal
(Intercept),-1.791,0.575,NCT00236561,8,early_withdrawal
armtreat,1.736,0.669,NCT00236561,8,early_withdrawal
age_std,-0.024,0.327,NCT00236561,8,early_withdrawal
sexTRUE,-0.299,0.601,NCT00236561,8,early_withdrawal
como_cnt,0.065,0.473,NCT00236561,8,early_withdrawal
armtreat:age_std,0.634,0.403,NCT00236561,8,early_withdrawal
armtreat:sexTRUE,0.198,0.772,NCT00236561,8,early_withdrawal
armtreat:como_cnt,0.348,0.598,NCT00236561,8,early_withdrawal
(Intercept),-1.804,0.574,NCT00236561,9,early_withdrawal
armtreat,1.741,0.669,NCT00236561,9,early_withdrawal
age_std,-0.006,0.325,NCT00236561,9,early_withdrawal
sexTRUE,-0.312,0.601,NCT00236561,9,early_withdrawal
como_cnt,7.018,477.664,NCT00236561,9,early_withdrawal
I(como_cnt^2),-6.739,477.663,NCT00236561,9,early_withdrawal
armtreat:age_std,0.677,0.406,NCT00236561,9,early_withdrawal
armtreat:sexTRUE,0.247,0.777,NCT00236561,9,early_withdrawal
armtreat:como_cnt,-4.7,477.665,NCT00236561,9,early_withdrawal
armtreat:I(como_cnt^2),5.376,477.664,NCT00236561,9,early_withdrawal
(Intercept),-1.759,0.521,NCT00236561,10,early_withdrawal
armtreat,1.847,0.609,NCT00236561,10,early_withdrawal
age_std,-0.015,0.32,NCT00236561,10,early_withdrawal
sexTRUE,-0.308,0.598,NCT00236561,10,early_withdrawal
armtreat:age_std,0.658,0.396,NCT00236561,10,early_withdrawal
armtreat:sexTRUE,0.208,0.769,NCT00236561,10,early_withdrawal
(Intercept),-0.601,0.323,NCT00236561,11,early_withdrawal
age_std,0.401,0.512,NCT00236561,11,early_withdrawal
I(age_std^2),-0.025,0.207,NCT00236561,11,early_withdrawal
sexTRUE,-0.31,0.362,NCT00236561,11,early_withdrawal
como_cnt,0.17,0.269,NCT00236561,11,early_withdrawal
(Intercept),-0.599,0.325,NCT00236561,12,early_withdrawal
age_std,0.489,0.518,NCT00236561,12,early_withdrawal
I(age_std^2),0.002,0.208,NCT00236561,12,early_withdrawal
sexTRUE,-0.319,0.364,NCT00236561,12,early_withdrawal
como_cnt,1.268,0.795,NCT00236561,12,early_withdrawal
I(como_cnt^2),-0.799,0.602,NCT00236561,12,early_withdrawal
(Intercept),-1.299,0.421,NCT00236561,13,early_withdrawal
age_std,0.221,0.535,NCT00236561,13,early_withdrawal
I(age_std^2),-0.076,0.217,NCT00236561,13,early_withdrawal
sexTRUE,-0.218,0.372,NCT00236561,13,early_withdrawal
como_cnt,-0.046,0.465,NCT00236561,13,early_withdrawal
armtreat,0.969,0.35,NCT00236561,13,early_withdrawal
como_cnt:armtreat,0.494,0.584,NCT00236561,13,early_withdrawal
(Intercept),-1.25,0.43,NCT00236561,14,early_withdrawal
age_std,0.392,0.542,NCT00236561,14,early_withdrawal
I(age_std^2),-0.017,0.219,NCT00236561,14,early_withdrawal
sexTRUE,-0.21,0.374,NCT00236561,14,early_withdrawal
armtreat,0.939,0.361,NCT00236561,14,early_withdrawal
como_cnt,7.044,474.083,NCT00236561,14,early_withdrawal
I(como_cnt^2),-6.867,474.083,NCT00236561,14,early_withdrawal
armtreat:como_cnt,-4.846,474.084,NCT00236561,14,early_withdrawal
armtreat:I(como_cnt^2),5.617,474.083,NCT00236561,14,early_withdrawal
(Intercept),-0.524,0.298,NCT00236561,15,early_withdrawal
age_std,0.433,0.51,NCT00236561,15,early_withdrawal
I(age_std^2),-0.02,0.207,NCT00236561,15,early_withdrawal
sexTRUE,-0.321,0.362,NCT00236561,15,early_withdrawal
(Intercept),-1.685,0.676,NCT00236561,16,early_withdrawal
armtreat,1.462,0.743,NCT00236561,16,early_withdrawal
age_std,0.411,0.962,NCT00236561,16,early_withdrawal
I(age_std^2),0.17,0.333,NCT00236561,16,early_withdrawal
sexTRUE,-0.265,0.601,NCT00236561,16,early_withdrawal
como_cnt,0.257,0.282,NCT00236561,16,early_withdrawal
armtreat:age_std,-0.641,1.163,NCT00236561,16,early_withdrawal
armtreat:I(age_std^2),-0.571,0.444,NCT00236561,16,early_withdrawal
armtreat:sexTRUE,0.194,0.775,NCT00236561,16,early_withdrawal
(Intercept),-1.787,0.68,NCT00236561,17,early_withdrawal
armtreat,1.609,0.756,NCT00236561,17,early_withdrawal
age_std,0.366,0.951,NCT00236561,17,early_withdrawal
I(age_std^2),0.151,0.329,NCT00236561,17,early_withdrawal
sexTRUE,-0.272,0.604,NCT00236561,17,early_withdrawal
como_cnt,1.64,0.872,NCT00236561,17,early_withdrawal
I(como_cnt^2),-1.021,0.656,NCT00236561,17,early_withdrawal
armtreat:age_std,-0.402,1.169,NCT00236561,17,early_withdrawal
armtreat:I(age_std^2),-0.481,0.445,NCT00236561,17,early_withdrawal
armtreat:sexTRUE,0.226,0.779,NCT00236561,17,early_withdrawal
(Intercept),-1.528,0.711,NCT00236561,18,early_withdrawal
armtreat,1.257,0.805,NCT00236561,18,early_withdrawal
age_std,0.515,0.973,NCT00236561,18,early_withdrawal
I(age_std^2),0.196,0.335,NCT00236561,18,early_withdrawal
sexTRUE,-0.297,0.602,NCT00236561,18,early_withdrawal
como_cnt,0.024,0.481,NCT00236561,18,early_withdrawal
armtreat:age_std,-0.754,1.176,NCT00236561,18,early_withdrawal
armtreat:I(age_std^2),-0.596,0.447,NCT00236561,18,early_withdrawal
armtreat:sexTRUE,0.224,0.776,NCT00236561,18,early_withdrawal
armtreat:como_cnt,0.372,0.601,NCT00236561,18,early_withdrawal
(Intercept),-1.549,0.707,NCT00236561,19,early_withdrawal
armtreat,1.314,0.803,NCT00236561,19,early_withdrawal
age_std,0.517,0.96,NCT00236561,19,early_withdrawal
I(age_std^2),0.191,0.332,NCT00236561,19,early_withdrawal
sexTRUE,-0.311,0.602,NCT00236561,19,early_withdrawal
como_cnt,7.006,475.523,NCT00236561,19,early_withdrawal
I(como_cnt^2),-6.77,475.522,NCT00236561,19,early_withdrawal
armtreat:age_std,-0.521,1.177,NCT00236561,19,early_withdrawal
armtreat:I(age_std^2),-0.506,0.448,NCT00236561,19,early_withdrawal
armtreat:sexTRUE,0.269,0.78,NCT00236561,19,early_withdrawal
armtreat:como_cnt,-4.891,475.524,NCT00236561,19,early_withdrawal
armtreat:I(como_cnt^2),5.551,475.523,NCT00236561,19,early_withdrawal
(Intercept),-1.513,0.642,NCT00236561,20,early_withdrawal
armtreat,1.379,0.733,NCT00236561,20,early_withdrawal
age_std,0.526,0.951,NCT00236561,20,early_withdrawal
I(age_std^2),0.199,0.331,NCT00236561,20,early_withdrawal
sexTRUE,-0.3,0.599,NCT00236561,20,early_withdrawal
armtreat:age_std,-0.739,1.154,NCT00236561,20,early_withdrawal
armtreat:I(age_std^2),-0.602,0.442,NCT00236561,20,early_withdrawal
armtreat:sexTRUE,0.231,0.773,NCT00236561,20,early_withdrawal
(Intercept),-1.231,0.16,NCT00236561,21,early_withdrawal
como_cnt,0.302,0.263,NCT00236561,21,early_withdrawal
(Intercept),-1.275,0.165,NCT00236561,22,early_withdrawal
como_cnt,1.232,0.756,NCT00236561,22,early_withdrawal
I(como_cnt^2),-0.67,0.563,NCT00236561,22,early_withdrawal
(Intercept),-1.831,0.277,NCT00236561,23,early_withdrawal
como_cnt,0.08,0.461,NCT00236561,23,early_withdrawal
armtreat,1.04,0.344,NCT00236561,23,early_withdrawal
como_cnt:armtreat,0.465,0.581,NCT00236561,23,early_withdrawal
(Intercept),-1.872,0.287,NCT00236561,24,early_withdrawal
armtreat,1.025,0.355,NCT00236561,24,early_withdrawal
como_cnt,7.02,478.362,NCT00236561,24,early_withdrawal
I(como_cnt^2),-6.724,478.362,NCT00236561,24,early_withdrawal
armtreat:como_cnt,-4.892,478.363,NCT00236561,24,early_withdrawal
armtreat:I(como_cnt^2),5.597,478.362,NCT00236561,24,early_withdrawal
(Intercept),-0.649,0.273,NCT00236561,25,early_withdrawal
age_std,0.459,0.184,NCT00236561,25,early_withdrawal
como_cnt,0.179,0.269,NCT00236561,25,early_withdrawal
(Intercept),-0.671,0.274,NCT00236561,26,early_withdrawal
age_std,0.482,0.186,NCT00236561,26,early_withdrawal
como_cnt,1.273,0.791,NCT00236561,26,early_withdrawal
I(como_cnt^2),-0.793,0.597,NCT00236561,26,early_withdrawal
(Intercept),-1.291,0.37,NCT00236561,27,early_withdrawal
age_std,0.397,0.189,NCT00236561,27,early_withdrawal
como_cnt,-0.04,0.466,NCT00236561,27,early_withdrawal
armtreat,0.977,0.347,NCT00236561,27,early_withdrawal
como_cnt:armtreat,0.491,0.585,NCT00236561,27,early_withdrawal
(Intercept),-1.289,0.377,NCT00236561,28,early_withdrawal
age_std,0.432,0.191,NCT00236561,28,early_withdrawal
armtreat,0.952,0.359,NCT00236561,28,early_withdrawal
como_cnt,7.033,474.189,NCT00236561,28,early_withdrawal
I(como_cnt^2),-6.85,474.188,NCT00236561,28,early_withdrawal
armtreat:como_cnt,-4.811,474.19,NCT00236561,28,early_withdrawal
armtreat:I(como_cnt^2),5.586,474.189,NCT00236561,28,early_withdrawal
(Intercept),-0.573,0.248,NCT00236561,29,early_withdrawal
age_std,0.48,0.182,NCT00236561,29,early_withdrawal
(Intercept),-1.989,0.52,NCT00236561,30,early_withdrawal
armtreat,1.961,0.587,NCT00236561,30,early_withdrawal
age_std,-0.068,0.321,NCT00236561,30,early_withdrawal
como_cnt,0.288,0.282,NCT00236561,30,early_withdrawal
armtreat:age_std,0.69,0.395,NCT00236561,30,early_withdrawal
(Intercept),-2.082,0.523,NCT00236561,31,early_withdrawal
armtreat,2.073,0.596,NCT00236561,31,early_withdrawal
age_std,-0.063,0.32,NCT00236561,31,early_withdrawal
como_cnt,1.833,0.873,NCT00236561,31,early_withdrawal
I(como_cnt^2),-1.154,0.664,NCT00236561,31,early_withdrawal
armtreat:age_std,0.737,0.399,NCT00236561,31,early_withdrawal
(Intercept),-1.887,0.548,NCT00236561,32,early_withdrawal
armtreat,1.817,0.642,NCT00236561,32,early_withdrawal
age_std,-0.038,0.326,NCT00236561,32,early_withdrawal
como_cnt,0.091,0.472,NCT00236561,32,early_withdrawal
armtreat:age_std,0.652,0.402,NCT00236561,32,early_withdrawal
armtreat:como_cnt,0.321,0.596,NCT00236561,32,early_withdrawal
(Intercept),-1.905,0.547,NCT00236561,33,early_withdrawal
armtreat,1.831,0.642,NCT00236561,33,early_withdrawal
age_std,-0.023,0.324,NCT00236561,33,early_withdrawal
como_cnt,7.018,478.559,NCT00236561,33,early_withdrawal
I(como_cnt^2),-6.716,478.558,NCT00236561,33,early_withdrawal
armtreat:age_std,0.695,0.404,NCT00236561,33,early_withdrawal
armtreat:como_cnt,-4.696,478.56,NCT00236561,33,early_withdrawal
armtreat:I(como_cnt^2),5.351,478.559,NCT00236561,33,early_withdrawal
(Intercept),-1.844,0.499,NCT00236561,34,early_withdrawal
armtreat,1.917,0.586,NCT00236561,34,early_withdrawal
age_std,-0.026,0.32,NCT00236561,34,early_withdrawal
armtreat:age_std,0.672,0.396,NCT00236561,34,early_withdrawal
(Intercept),-0.668,0.314,NCT00236561,35,early_withdrawal
age_std,0.399,0.51,NCT00236561,35,early_withdrawal
I(age_std^2),-0.026,0.206,NCT00236561,35,early_withdrawal
como_cnt,0.181,0.269,NCT00236561,35,early_withdrawal
(Intercept),-0.67,0.315,NCT00236561,36,early_withdrawal
age_std,0.484,0.516,NCT00236561,36,early_withdrawal
I(age_std^2),0.001,0.207,NCT00236561,36,early_withdrawal
como_cnt,1.274,0.794,NCT00236561,36,early_withdrawal
I(como_cnt^2),-0.794,0.6,NCT00236561,36,early_withdrawal
(Intercept),-1.355,0.41,NCT00236561,37,early_withdrawal
age_std,0.214,0.533,NCT00236561,37,early_withdrawal
I(age_std^2),-0.079,0.217,NCT00236561,37,early_withdrawal
como_cnt,-0.033,0.466,NCT00236561,37,early_withdrawal
armtreat,0.987,0.348,NCT00236561,37,early_withdrawal
como_cnt:armtreat,0.48,0.584,NCT00236561,37,early_withdrawal
(Intercept),-1.306,0.419,NCT00236561,38,early_withdrawal
age_std,0.385,0.541,NCT00236561,38,early_withdrawal
I(age_std^2),-0.02,0.219,NCT00236561,38,early_withdrawal
armtreat,0.955,0.36,NCT00236561,38,early_withdrawal
como_cnt,7.035,474.798,NCT00236561,38,early_withdrawal
I(como_cnt^2),-6.85,474.797,NCT00236561,38,early_withdrawal
armtreat:como_cnt,-4.829,474.799,NCT00236561,38,early_withdrawal
armtreat:I(como_cnt^2),5.596,474.797,NCT00236561,38,early_withdrawal
(Intercept),-0.589,0.289,NCT00236561,39,early_withdrawal
age_std,0.431,0.509,NCT00236561,39,early_withdrawal
I(age_std^2),-0.021,0.207,NCT00236561,39,early_withdrawal
(Intercept),-1.761,0.655,NCT00236561,40,early_withdrawal
armtreat,1.523,0.721,NCT00236561,40,early_withdrawal
age_std,0.406,0.96,NCT00236561,40,early_withdrawal
I(age_std^2),0.173,0.332,NCT00236561,40,early_withdrawal
como_cnt,0.266,0.282,NCT00236561,40,early_withdrawal
armtreat:age_std,-0.638,1.16,NCT00236561,40,early_withdrawal
armtreat:I(age_std^2),-0.575,0.443,NCT00236561,40,early_withdrawal
(Intercept),-1.871,0.656,NCT00236561,41,early_withdrawal
armtreat,1.683,0.732,NCT00236561,41,early_withdrawal
age_std,0.355,0.949,NCT00236561,41,early_withdrawal
I(age_std^2),0.152,0.329,NCT00236561,41,early_withdrawal
como_cnt,1.654,0.872,NCT00236561,41,early_withdrawal
I(como_cnt^2),-1.026,0.656,NCT00236561,41,early_withdrawal
armtreat:age_std,-0.391,1.167,NCT00236561,41,early_withdrawal
armtreat:I(age_std^2),-0.483,0.445,NCT00236561,41,early_withdrawal
(Intercept),-1.622,0.689,NCT00236561,42,early_withdrawal
armtreat,1.339,0.781,NCT00236561,42,early_withdrawal
age_std,0.504,0.971,NCT00236561,42,early_withdrawal
I(age_std^2),0.198,0.335,NCT00236561,42,early_withdrawal
como_cnt,0.049,0.48,NCT00236561,42,early_withdrawal
armtreat:age_std,-0.743,1.174,NCT00236561,42,early_withdrawal
armtreat:I(age_std^2),-0.598,0.446,NCT00236561,42,early_withdrawal
armtreat:como_cnt,0.346,0.6,NCT00236561,42,early_withdrawal
(Intercept),-1.649,0.684,NCT00236561,43,early_withdrawal
armtreat,1.407,0.779,NCT00236561,43,early_withdrawal
age_std,0.502,0.958,NCT00236561,43,early_withdrawal
I(age_std^2),0.192,0.332,NCT00236561,43,early_withdrawal
como_cnt,7.003,476.611,NCT00236561,43,early_withdrawal
I(como_cnt^2),-6.746,476.61,NCT00236561,43,early_withdrawal
armtreat:age_std,-0.506,1.175,NCT00236561,43,early_withdrawal
armtreat:I(age_std^2),-0.507,0.447,NCT00236561,43,early_withdrawal
armtreat:como_cnt,-4.887,476.612,NCT00236561,43,early_withdrawal
armtreat:I(como_cnt^2),5.526,476.611,NCT00236561,43,early_withdrawal
(Intercept),-1.592,0.623,NCT00236561,44,early_withdrawal
armtreat,1.446,0.712,NCT00236561,44,early_withdrawal
age_std,0.525,0.948,NCT00236561,44,early_withdrawal
I(age_std^2),0.203,0.331,NCT00236561,44,early_withdrawal
armtreat:age_std,-0.74,1.152,NCT00236561,44,early_withdrawal
armtreat:I(age_std^2),-0.607,0.441,NCT00236561,44,early_withdrawal
(Intercept),-1.166,0.175,NCT00236561,45,early_withdrawal
sexTRUE,-0.308,0.358,NCT00236561,45,early_withdrawal
como_cnt,0.29,0.263,NCT00236561,45,early_withdrawal
(Intercept),-1.209,0.18,NCT00236561,46,early_withdrawal
sexTRUE,-0.307,0.359,NCT00236561,46,early_withdrawal
como_cnt,1.215,0.754,NCT00236561,46,early_withdrawal
I(como_cnt^2),-0.665,0.56,NCT00236561,46,early_withdrawal
(Intercept),-1.772,0.291,NCT00236561,47,early_withdrawal
sexTRUE,-0.235,0.37,NCT00236561,47,early_withdrawal
como_cnt,0.063,0.462,NCT00236561,47,early_withdrawal
armtreat,1.023,0.345,NCT00236561,47,early_withdrawal
como_cnt:armtreat,0.482,0.581,NCT00236561,47,early_withdrawal
(Intercept),-1.817,0.3,NCT00236561,48,early_withdrawal
sexTRUE,-0.219,0.372,NCT00236561,48,early_withdrawal
armtreat,1.01,0.355,NCT00236561,48,early_withdrawal
como_cnt,7.02,478.032,NCT00236561,48,early_withdrawal
I(como_cnt^2),-6.737,478.032,NCT00236561,48,early_withdrawal
armtreat:como_cnt,-4.91,478.034,NCT00236561,48,early_withdrawal
armtreat:I(como_cnt^2),5.622,478.032,NCT00236561,48,early_withdrawal
(Intercept),-1.081,0.155,NCT00236561,49,early_withdrawal
sexTRUE,-0.326,0.357,NCT00236561,49,early_withdrawal
(Intercept),-1.861,0.291,NCT00236561,50,early_withdrawal
sexTRUE,-0.266,0.599,NCT00236561,50,early_withdrawal
armtreat,1.155,0.337,NCT00236561,50,early_withdrawal
como_cnt,0.356,0.271,NCT00236561,50,early_withdrawal
sexTRUE:armtreat,0.074,0.761,NCT00236561,50,early_withdrawal
(Intercept),-1.943,0.299,NCT00236561,51,early_withdrawal
sexTRUE,-0.276,0.6,NCT00236561,51,early_withdrawal
armtreat,1.194,0.341,NCT00236561,51,early_withdrawal
como_cnt,1.617,0.837,NCT00236561,51,early_withdrawal
I(como_cnt^2),-0.92,0.629,NCT00236561,51,early_withdrawal
sexTRUE:armtreat,0.111,0.764,NCT00236561,51,early_withdrawal
(Intercept),-1.757,0.309,NCT00236561,52,early_withdrawal
sexTRUE,-0.303,0.599,NCT00236561,52,early_withdrawal
armtreat,1,0.379,NCT00236561,52,early_withdrawal
como_cnt,0.058,0.463,NCT00236561,52,early_withdrawal
sexTRUE:armtreat,0.112,0.763,NCT00236561,52,early_withdrawal
armtreat:como_cnt,0.486,0.582,NCT00236561,52,early_withdrawal
(Intercept),-1.795,0.317,NCT00236561,53,early_withdrawal
sexTRUE,-0.313,0.598,NCT00236561,53,early_withdrawal
armtreat,0.977,0.389,NCT00236561,53,early_withdrawal
como_cnt,7.019,477.715,NCT00236561,53,early_withdrawal
I(como_cnt^2),-6.742,477.714,NCT00236561,53,early_withdrawal
sexTRUE:armtreat,0.156,0.765,NCT00236561,53,early_withdrawal
armtreat:como_cnt,-4.905,477.716,NCT00236561,53,early_withdrawal
armtreat:I(como_cnt^2),5.624,477.715,NCT00236561,53,early_withdrawal
(Intercept),-1.738,0.271,NCT00236561,54,early_withdrawal
sexTRUE,-0.309,0.596,NCT00236561,54,early_withdrawal
armtreat,1.123,0.335,NCT00236561,54,early_withdrawal
sexTRUE:armtreat,0.114,0.758,NCT00236561,54,early_withdrawal
(Intercept),-0.488,0.087,NCT01032629,1,early_withdrawal
age_std,0.168,0.071,NCT01032629,1,early_withdrawal
sexTRUE,0.016,0.08,NCT01032629,1,early_withdrawal
como_cnt,0.166,0.024,NCT01032629,1,early_withdrawal
(Intercept),-0.332,0.111,NCT01032629,2,early_withdrawal
age_std,0.171,0.071,NCT01032629,2,early_withdrawal
sexTRUE,0.015,0.08,NCT01032629,2,early_withdrawal
como_cnt,0.016,0.071,NCT01032629,2,early_withdrawal
I(como_cnt^2),0.025,0.011,NCT01032629,2,early_withdrawal
(Intercept),-0.362,0.112,NCT01032629,3,early_withdrawal
age_std,0.18,0.071,NCT01032629,3,early_withdrawal
sexTRUE,0.01,0.08,NCT01032629,3,early_withdrawal
como_cnt,0.196,0.034,NCT01032629,3,early_withdrawal
armtreat,-0.26,0.146,NCT01032629,3,early_withdrawal
como_cnt:armtreat,-0.053,0.048,NCT01032629,3,early_withdrawal
(Intercept),-0.05,0.146,NCT01032629,4,early_withdrawal
age_std,0.184,0.071,NCT01032629,4,early_withdrawal
sexTRUE,0.012,0.08,NCT01032629,4,early_withdrawal
armtreat,-0.591,0.203,NCT01032629,4,early_withdrawal
